"REID","Record Type Desc","Parcel Status Desc","Property Class Desc","Sale Date","Sale Price","Sale Type Desc","Sale Status Desc","Sale Disqualification Reason Desc","Ownership Document Number"
2321,Sale,ACTIVE,RESIDENTIAL,"3/25/2022 12:00:01 AM",320000.00,PACKAGE,QUALIFIED,,2320739
2324,Sale,ACTIVE,RESIDENTIAL,"2/11/2022 12:00:01 AM",283000.00,PACKAGE,QUALIFIED,,2314540
2330,Sale,ACTIVE,RESIDENTIAL,"6/20/2022 12:00:01 AM",300000.00,PACKAGE,QUALIFIED,,2333536
2377,Sale,ACTIVE,RESIDENTIAL,"5/2/2022 12:00:01 AM",315000.00,PACKAGE,QUALIFIED,,2326389
2435,Sale,ACTIVE,RESIDENTIAL,"8/10/2022 12:00:01 AM",252000.00,PACKAGE,QUALIFIED,,2340729
2500,Sale,ACTIVE,RESIDENTIAL,"5/4/2022 12:00:01 AM",345000.00,PACKAGE,QUALIFIED,,2326865
2526,Sale,ACTIVE,RESIDENTIAL,"4/12/2022 12:00:01 AM",258000.00,PACKAGE,QUALIFIED,,2323446
2540,Sale,ACTIVE,RESIDENTIAL,"4/26/2022 12:00:01 AM",335000.00,PACKAGE,QUALIFIED,NOT-ARMS-LENGTH,2325395
2567,Sale,ACTIVE,RESIDENTIAL,"7/26/2022 12:00:01 AM",349500.00,PACKAGE,QUALIFIED,,2338542
2596,Sale,ACTIVE,RESIDENTIAL,"7/1/2022 12:00:01 AM",279000.00,PACKAGE,QUALIFIED,,2335420
2688,Sale,ACTIVE,RESIDENTIAL,"5/31/2022 12:00:01 AM",300000.00,PACKAGE,QUALIFIED,,2330684
2734,Sale,ACTIVE,RESIDENTIAL,"11/2/2022 12:00:02 AM",360000.00,PACKAGE,QUALIFIED,,2351848
2761,Sale,ACTIVE,RESIDENTIAL,"5/20/2022 12:00:01 AM",260000.00,PACKAGE,QUALIFIED,,2329185
2766,Sale,ACTIVE,RESIDENTIAL,"1/6/2022 12:00:01 AM",24000.00,LAND,QUALIFIED,,2308840
2767,Sale,ACTIVE,RESIDENTIAL,"2/10/2022 12:00:01 AM",312000.00,PACKAGE,QUALIFIED,,2314288
2792,Sale,ACTIVE,RESIDENTIAL,"9/2/2022 12:00:01 AM",310000.00,PACKAGE,QUALIFIED,,2344826
2833,Sale,ACTIVE,RESIDENTIAL,"4/8/2022 12:00:01 AM",540000.00,PACKAGE,QUALIFIED,,2322977
2838,Sale,ACTIVE,RESIDENTIAL,"2/9/2022 12:00:01 AM",750000.00,PACKAGE,QUALIFIED,,2314147
2878,Sale,ACTIVE,RESIDENTIAL,"5/9/2022 12:00:01 AM",600000.00,PACKAGE,QUALIFIED,,2327386
2898,Sale,ACTIVE,RESIDENTIAL,"5/4/2022 12:00:01 AM",200000.00,PACKAGE,QUALIFIED,,2326863
2900,Sale,ACTIVE,RESIDENTIAL,"12/16/2022 12:00:01 AM",120000.00,LAND,QUALIFIED,,2356602
2915,Sale,ACTIVE,RESIDENTIAL,"5/9/2022 12:00:01 AM",350000.00,PACKAGE,QUALIFIED,,2327368
2922,Sale,ACTIVE,RESIDENTIAL,"9/19/2022 12:00:01 AM",317500.00,PACKAGE,QUALIFIED,,2346459
2975,Sale,ACTIVE,RESIDENTIAL,"12/19/2022 12:00:01 AM",352500.00,PACKAGE,QUALIFIED,,2356761
2978,Sale,ACTIVE,RESIDENTIAL,"2/4/2022 12:00:01 AM",340500.00,PACKAGE,QUALIFIED,,2313624
2989,Sale,ACTIVE,RESIDENTIAL,"4/29/2022 12:00:01 AM",268000.00,PACKAGE,QUALIFIED,,2326044
2999,Sale,ACTIVE,RESIDENTIAL,"12/21/2022 12:00:01 AM",275500.00,PACKAGE,QUALIFIED,,2357164
3001,Sale,ACTIVE,RESIDENTIAL,"7/28/2022 12:00:01 AM",392900.00,PACKAGE,QUALIFIED,,2338928
